canonical_id	representative_accession	representative_source	gcf_accession	gca_accession	pair_status	organism_name	tax_id	strain	assembly_level	assembly_status	refseq_category	genome_size_bp	gc_percent	number_of_contigs	number_of_scaffolds	contig_n50	scaffold_n50	bioproject_accession	biosample_accession	submitter	release_date
CANON_01347	GCF_036924615.1	REFSEQ	GCF_036924615.1	GCA_036924615.1	paired	Bradyrhizobium sp. AZCC 2289	3117026	AZCC 2289	Contig	current		10450701	61.5	1	1	10450701	10450701	PRJNA1069207	SAMN39621689	DOE Joint Genome Institute	2024-02-29
CANON_01348	GCF_038963755.1	REFSEQ	GCF_038963755.1	GCA_038963755.1	paired	Bradyrhizobium sp. B024	3140247	B024	Complete Genome	current		9319788	64	1	1	9319788	9319788	PRJNA1101174	SAMN40988372	National Institute of Agricultural Sciences, Rural Development Administration	2024-05-01
CANON_01349	GCF_042257955.1	REFSEQ	GCF_042257955.1	GCA_042257955.1	paired	Bradyrhizobium sp. B025	3344829	B025	Complete Genome	current		8925637	64	1	1	8925637	8925637	PRJNA1160006	SAMN43589299	National Institute of Agricultural Sciences, Rural Development Administration	2024-09-25
CANON_01350	GCF_038965675.1	REFSEQ	GCF_038965675.1	GCA_038965675.1	paired	Bradyrhizobium sp. B039	3140239	B039	Complete Genome	current		8950164	64	1	1	8950164	8950164	PRJNA1101193	SAMN40989601	National Institute of Agricultural Sciences, Rural Development Administration	2024-05-01
CANON_01351	GCF_038957035.1	REFSEQ	GCF_038957035.1	GCA_038957035.1	paired	Bradyrhizobium sp. B097	3140244	B097	Complete Genome	current		9252481	64	1	1	9252481	9252481	PRJNA1101162	SAMN40987003	National Institute of Agricultural Sciences, Rural Development Administration	2024-05-01
CANON_01352	GCF_038969555.1	REFSEQ	GCF_038969555.1	GCA_038969555.1	paired	Bradyrhizobium sp. B117	3140246	B117	Complete Genome	current		10032509	63.5	1	1	10032509	10032509	PRJNA1101171	SAMN40988305	National Institute of Agricultural Sciences, Rural Development Administration	2024-05-01
CANON_01353	GCF_049075665.1	REFSEQ	GCF_049075665.1	GCA_049075665.1	paired	Bradyrhizobium sp. B120	3410088	B120	Complete Genome	current		9121706	64	1	1	9121706	9121706	PRJNA1237528	SAMN47424359	National Institute of Agricultural Sciences, Rural Development Administration	2025-03-26
CANON_01354	GCF_038967635.1	REFSEQ	GCF_038967635.1	GCA_038967635.1	paired	Bradyrhizobium sp. B124	3140245	B124	Complete Genome	current		9169800	63.5	1	1	9169800	9169800	PRJNA1101169	SAMN40987165	National Institute of Agricultural Sciences, Rural Development Administration	2024-05-01
CANON_01355	GCF_032918025.1	REFSEQ	GCF_032918025.1	GCA_032918025.1	paired	Bradyrhizobium sp. BEA-2-5	3080015	BEA-2-5	Complete Genome	current		8406336	64	1	1	8406336	8406336	PRJNA1023532	SAMN37684786	I2BC CNRS	2023-10-22
CANON_01356	GCF_012274525.1	REFSEQ	GCF_012274525.1	GCA_012274525.1	paired	Bradyrhizobium sp. BL	2713641	BL	Scaffold	suppressed		7718431	64.5	48	42	392970	403904	PRJNA560322	SAMN12575705	Institute of Urban Environment, Chinese Academy of Sciences	2020-04-13
CANON_01357	GCF_051853025.1	REFSEQ	GCF_051853025.1	GCA_051853025.1	paired	Bradyrhizobium sp. BLXBL-01	3395915	DASA03068	Complete Genome	current		8248309	64	1	1	8248309	8248309	PRJNA1215578	SAMN46412679	Suranaree University of Technology	2025-08-06
CANON_01358	GCF_051853015.1	REFSEQ	GCF_051853015.1	GCA_051853015.1	paired	Bradyrhizobium sp. BLXBL-03	3395916	DASA03076	Complete Genome	current		8425892	63	1	1	8425892	8425892	PRJNA1215578	SAMN46412680	Suranaree University of Technology	2025-08-06
CANON_01359	GCF_019455395.1	REFSEQ	GCF_019455395.1	GCA_019455395.1	paired	Bradyrhizobium sp. BR 10261	2749992	BR 10261	Scaffold	current		7561022	63.5	79	77	190968	190968	PRJNA643806	SAMN15428823	Embrapa Agrobiologia	2021-08-05
CANON_01360	GCF_019455385.1	REFSEQ	GCF_019455385.1	GCA_019455385.1	paired	Bradyrhizobium sp. BR 10289	2749993	BR 10289	Scaffold	current		7755363	64.5	62	61	230410	244761	PRJNA643808	SAMN15428874	Embrapa Agrobiologia	2021-08-05
CANON_01361	GCF_051547705.1	REFSEQ	GCF_051547705.1	GCA_051547705.1	paired	Bradyrhizobium sp. BR 1432	3447966	BR 1432	Contig	current		9386197	63	7	7	8496748	8496748	PRJNA1288025	SAMN49830964	Embrapa	2025-07-27
CANON_01362	GCF_051547665.1	REFSEQ	GCF_051547665.1	GCA_051547665.1	paired	Bradyrhizobium sp. BR 1433	3447967	BR 1433	Contig	current		8658699	64	2	2	8654120	8654120	PRJNA1288026	SAMN49830976	Embrapa	2025-07-27
CANON_01363	GCF_029892425.1	REFSEQ	GCF_029892425.1	GCA_029892425.1	paired	Bradyrhizobium sp. BR13661	2940622	BR13661	Contig	current		8939013	63	91	91	239805	239805	PRJNA834429	SAMN28094768	DOE Joint Genome Institute	2023-04-28
CANON_01364	GCF_056106085.1	REFSEQ	GCF_056106085.1	GCA_056106085.1	paired	Bradyrhizobium sp. BR14999	3444115	BR14999	Complete Genome	current		8837982	63	1	1	8837982	8837982	PRJNA1281539	SAMN49565776	Embrapa	2026-03-19
CANON_01365	GCF_009720285.1	REFSEQ	GCF_009720285.1	GCA_009720285.1	paired	Bradyrhizobium sp. BR2003	1419258	BR2003	Contig	current		8201106	64.5	52	52	298681	298681	PRJNA526863	SAMN11116018	Embrapa Agrobiologia	2019-11-28
CANON_01366	GCF_024519875.1	REFSEQ	GCF_024519875.1	GCA_024519875.1	paired	Bradyrhizobium sp. Bra64	2926009	Bra64	Scaffold	current		7335666	64.5	51	42	374004	385083	PRJNA814318	SAMN26547292	Universite de Sherbrooke	2022-08-03
CANON_01367	GCF_024519855.1	REFSEQ	GCF_024519855.1	GCA_024519855.1	paired	Bradyrhizobium sp. Bra78	2926010	Bra78	Scaffold	current		7221794	64.5	48	42	302716	410461	PRJNA814318	SAMN26547293	Universite de Sherbrooke	2022-08-03
CANON_01368	GCF_020194335.1	REFSEQ	GCF_020194335.1	GCA_020194335.1	paired	Bradyrhizobium sp. BRP05	2793826	BRP05	Contig	suppressed		8476253	62.5	883	883	662572	662572	PRJNA679722	SAMN16844654	university of Oxford	2021-09-30
CANON_01369	GCF_020194235.1	REFSEQ	GCF_020194235.1	GCA_020194235.1	paired	Bradyrhizobium sp. BRP14	2793824	BRP14	Contig	suppressed		6897609	61.5	139	139	409086	409086	PRJNA679722	SAMN16844657	university of Oxford	2021-09-30
CANON_01370	GCF_020194195.1	REFSEQ	GCF_020194195.1	GCA_020194195.1	paired	Bradyrhizobium sp. BRP19	2793823	BRP19	Contig	current		8277742	64	270	270	526140	526140	PRJNA679722	SAMN16844658	university of Oxford	2021-09-30
CANON_01371	GCF_020194215.1	REFSEQ	GCF_020194215.1	GCA_020194215.1	paired	Bradyrhizobium sp. BRP20	2793822	BRP20	Contig	current		8097479	64	143	143	401262	401262	PRJNA679722	SAMN16844659	university of Oxford	2021-09-30
CANON_01372	GCF_020194175.1	REFSEQ	GCF_020194175.1	GCA_020194175.1	paired	Bradyrhizobium sp. BRP22	2793821	BRP22	Contig	current		8363720	63	183	183	164866	164866	PRJNA679722	SAMN16844660	university of Oxford	2021-09-30
CANON_01373	GCF_020194135.1	REFSEQ	GCF_020194135.1	GCA_020194135.1	paired	Bradyrhizobium sp. BRP23	2793820	BRP23	Contig	current		7933404	64	80	80	514726	514726	PRJNA679722	SAMN16844661	university of Oxford	2021-09-30
CANON_01374	GCF_020194035.1	REFSEQ	GCF_020194035.1	GCA_020194035.1	paired	Bradyrhizobium sp. BRP56	2793819	BRP56	Contig	current		9217211	63.5	270	270	100027	100027	PRJNA679722	SAMN16844662	university of Oxford	2021-09-30
CANON_01375	GCF_000015165.1	REFSEQ	GCF_000015165.1	GCA_000015165.1	paired	Bradyrhizobium sp. BTAi1	288000	BTAi1	Complete Genome	current		8493513	65	2	2	8264687	8264687	PRJNA16137	SAMN02598359	US DOE Joint Genome Institute	2007-05-11
CANON_01376	GCF_032917985.1	REFSEQ	GCF_032917985.1	GCA_032917985.1	paired	Bradyrhizobium sp. BWA-3-5	3080013	BWA-3-5	Complete Genome	current		8041125	62.5	2	2	7897608	7897608	PRJNA1023532	SAMN37684780	I2BC CNRS	2023-10-22
CANON_01377	GCF_032917965.1	REFSEQ	GCF_032917965.1	GCA_032917965.1	paired	Bradyrhizobium sp. BWC-3-1	3080012	BWC-3-1	Complete Genome	current		8767305	63	1	1	8767305	8767305	PRJNA1023532	SAMN37683990	I2BC CNRS	2023-10-22
CANON_01378	GCF_023375135.1	REFSEQ	GCF_023375135.1	GCA_023375135.1	paired	Bradyrhizobium sp. C-145	574727	C-145	Complete Genome	current		9529571	63	1	1	9529571	9529571	PRJNA782308	SAMN23371896	UNRC	2022-05-16
CANON_01379	GCF_002532045.1	REFSEQ	GCF_002532045.1	GCA_002532045.1	paired	Bradyrhizobium sp. C9	142585	C9	Contig	current		8428389	64	75	75	325395	325395	PRJNA403813	SAMN07627170	Northwest A&F University	2017-10-12
CANON_01380	GCF_052871955.1	REFSEQ	GCF_052871955.1	GCA_052871955.1	paired	Bradyrhizobium sp. CAR08	3377024	CAR08	Scaffold	current		8275631	63	93	88	330752	355619	PRJNA1178901	SAMN44485269	Universidad de Salamanca	2025-09-26
CANON_01381	GCF_025200925.1	REFSEQ	GCF_025200925.1	GCA_025200925.1	paired	Bradyrhizobium sp. CB1015	2976822	CB1015	Complete Genome	current		8412734	64	1	1	8412734	8412734	PRJNA783123	SAMN30617553	Murdoch University	2022-09-14
CANON_01382	GCF_029761915.1	REFSEQ	GCF_029761915.1	GCA_029761915.1	paired	Bradyrhizobium sp. CB1650	3039153	CB1650	Complete Genome	current		9430299	63	1	1	9430299	9430299	PRJNA783123	SAMN34043453	Murdoch University	2023-04-16
CANON_01383	GCF_029714325.1	REFSEQ	GCF_029714325.1	GCA_029714325.1	paired	Bradyrhizobium sp. CB1717	3039154	CB1717	Complete Genome	current		9232581	64	1	1	9232581	9232581	PRJNA783123	SAMN34043454	Murdoch University	2023-04-13
CANON_01384	GCF_029714425.1	REFSEQ	GCF_029714425.1	GCA_029714425.1	paired	Bradyrhizobium sp. CB2312	3039155	CB2312	Complete Genome	current		9780375	63.5	1	1	9780375	9780375	PRJNA783123	SAMN34043456	Murdoch University	2023-04-13
CANON_01385	GCF_029714305.1	REFSEQ	GCF_029714305.1	GCA_029714305.1	paired	Bradyrhizobium sp. CB3481	3039158	CB3481	Complete Genome	current		8035627	62.5	1	1	8035627	8035627	PRJNA783123	SAMN34043460	Murdoch University	2023-04-13
CANON_01386	GCF_029714405.1	REFSEQ	GCF_029714405.1	GCA_029714405.1	paired	Bradyrhizobium sp. CB82	3039159	CB82	Complete Genome	current		10142525	62.5	2	2	9242232	9242232	PRJNA783123	SAMN34043463	Murdoch University	2023-04-13
CANON_01387	GCF_009930815.1	REFSEQ	GCF_009930815.1	GCA_009930815.1	paired	Bradyrhizobium sp. CCBAU 051011	858422	CCBAU 051011	Complete Genome	current		9099371	62	1	1	9099371	9099371	PRJNA279921	SAMN03459128	China Agricultural University	2020-01-27
CANON_01388	GCF_028128865.1	REFSEQ	GCF_028128865.1	GCA_028128865.1	paired	Bradyrhizobium sp. CCBAU 11357	1630808	CCBAU 11357	Scaffold	current		8356831	64	123	113	261523	261523	PRJNA279921	SAMN03459159	China Agricultural University	2023-01-27
CANON_01389	GCF_028128935.1	REFSEQ	GCF_028128935.1	GCA_028128935.1	paired	Bradyrhizobium sp. CCBAU 11361	1630812	CCBAU 11361	Scaffold	current		9654372	63.5	221	200	151524	163918	PRJNA279921	SAMN03459162	China Agricultural University	2023-01-27
CANON_01390	GCF_028128955.1	REFSEQ	GCF_028128955.1	GCA_028128955.1	paired	Bradyrhizobium sp. CCBAU 11386	1630837	CCBAU 11386	Scaffold	current		9607677	63.5	299	261	99551	103552	PRJNA279921	SAMN03459163	China Agricultural University	2023-01-27
CANON_01391	GCF_028128855.1	REFSEQ	GCF_028128855.1	GCA_028128855.1	paired	Bradyrhizobium sp. CCBAU 11430	1630881	CCBAU 11430	Scaffold	current		8306715	64	81	74	238443	240354	PRJNA279921	SAMN03459158	China Agricultural University	2023-01-27
CANON_01392	GCF_028128895.1	REFSEQ	GCF_028128895.1	GCA_028128895.1	paired	Bradyrhizobium sp. CCBAU 11434	1630885	CCBAU 11434	Scaffold	current		9062290	63	117	103	307264	350154	PRJNA279921	SAMN03459160	China Agricultural University	2023-01-27
CANON_01393	GCF_028128915.1	REFSEQ	GCF_028128915.1	GCA_028128915.1	paired	Bradyrhizobium sp. CCBAU 11445	1630896	CCBAU 11445	Scaffold	current		8152044	64	78	73	285989	292500	PRJNA279921	SAMN03459161	China Agricultural University	2023-01-27
CANON_01394	GCF_028128795.1	REFSEQ	GCF_028128795.1	GCA_028128795.1	paired	Bradyrhizobium sp. CCBAU 21359	1325080	CCBAU 21359	Scaffold	current		8544915	63.5	213	116	87055	192173	PRJNA279921	SAMN03459154	China Agricultural University	2023-01-27
CANON_01395	GCF_028128815.1	REFSEQ	GCF_028128815.1	GCA_028128815.1	paired	Bradyrhizobium sp. CCBAU 21360	1325081	CCBAU 21360	Scaffold	current		8605123	63.5	96	92	258691	258691	PRJNA279921	SAMN03459155	China Agricultural University	2023-01-27
CANON_01396	GCF_028129015.1	REFSEQ	GCF_028129015.1	GCA_028129015.1	paired	Bradyrhizobium sp. CCBAU 21362	1325082	CCBAU 21362	Scaffold	current		9423535	64	198	169	297243	352379	PRJNA279921	SAMN03459153	China Agricultural University	2023-01-27
CANON_01397	GCF_015291305.1	REFSEQ	GCF_015291305.1	GCA_015291305.1	paired	Bradyrhizobium sp. CCBAU 21365	1325083	CCBAU 21365	Complete Genome	current		9482549	63.5	1	1	9482549	9482549	PRJNA279921	SAMN03459156	China Agricultural University	2020-11-09
CANON_01398	GCF_028128965.1	REFSEQ	GCF_028128965.1	GCA_028128965.1	paired	Bradyrhizobium sp. CCBAU 25338	1641877	CCBAU 25338	Scaffold	current		8209000	64	48	43	532866	532866	PRJNA279921	SAMN03459134	China Agricultural University	2023-01-27
CANON_01399	GCF_028128695.1	REFSEQ	GCF_028128695.1	GCA_028128695.1	paired	Bradyrhizobium sp. CCBAU 25360	858425	CCBAU 25360	Scaffold	current		8318132	64	47	45	542799	633781	PRJNA279921	SAMN03459132	China Agricultural University	2023-01-27
CANON_01400	GCF_028128975.1	REFSEQ	GCF_028128975.1	GCA_028128975.1	paired	Bradyrhizobium sp. CCBAU 45321	1641878	CCBAU 45321	Scaffold	current		8163918	64	138	131	365895	365895	PRJNA279921	SAMN03459133	China Agricultural University	2023-01-27
CANON_01401	GCF_028128665.1	REFSEQ	GCF_028128665.1	GCA_028128665.1	paired	Bradyrhizobium sp. CCBAU 45384	858428	CCBAU 45384	Scaffold	current		9189239	63	130	120	273355	273355	PRJNA279921	SAMN03459131	China Agricultural University	2023-01-27
CANON_01402	GCF_028128625.1	REFSEQ	GCF_028128625.1	GCA_028128625.1	paired	Bradyrhizobium sp. CCBAU 45389	858429	CCBAU 45389	Scaffold	current		9051078	64	112	99	289754	324351	PRJNA279921	SAMN03459130	China Agricultural University	2023-01-27
CANON_01403	GCF_028128655.1	REFSEQ	GCF_028128655.1	GCA_028128655.1	paired	Bradyrhizobium sp. CCBAU 45394	1325087	CCBAU 45394	Scaffold	current		9295254	64	195	177	398109	398109	PRJNA279921	SAMN03459129	China Agricultural University	2023-01-27
CANON_01404	GCF_028128765.1	REFSEQ	GCF_028128765.1	GCA_028128765.1	paired	Bradyrhizobium sp. CCBAU 51627	1325088	CCBAU 51627	Scaffold	current		8269907	63	97	93	234052	234052	PRJNA279921	SAMN03459141	China Agricultural University	2023-01-27
CANON_01405	GCF_028128715.1	REFSEQ	GCF_028128715.1	GCA_028128715.1	paired	Bradyrhizobium sp. CCBAU 51745	1325099	CCBAU 51745	Scaffold	current		8702261	63	106	93	251877	277491	PRJNA279921	SAMN03459151	China Agricultural University	2023-01-27
CANON_01406	GCF_015291565.1	REFSEQ	GCF_015291565.1	GCA_015291565.1	paired	Bradyrhizobium sp. CCBAU 51753	1325100	CCBAU 51753	Complete Genome	current		9120519	64.5	1	1	9120519	9120519	PRJNA279921	SAMN03459146	China Agricultural University	2020-11-09
CANON_01407	GCF_015291725.1	REFSEQ	GCF_015291725.1	GCA_015291725.1	paired	Bradyrhizobium sp. CCBAU 51765	1325102	CCBAU 51765	Complete Genome	current		8416216	64	1	1	8416216	8416216	PRJNA279921	SAMN03459149	China Agricultural University	2020-11-09
CANON_01408	GCF_015291665.1	REFSEQ	GCF_015291665.1	GCA_015291665.1	paired	Bradyrhizobium sp. CCBAU 53338	1325111	CCBAU 53338	Complete Genome	current		8283608	63.5	2	2	7304317	7304317	PRJNA279921	SAMN03459143	China Agricultural University	2020-11-09
CANON_01409	GCF_015291645.1	REFSEQ	GCF_015291645.1	GCA_015291645.1	paired	Bradyrhizobium sp. CCBAU 53340	1325112	CCBAU 53340	Complete Genome	current		8716512	63	2	2	7737220	7737220	PRJNA279921	SAMN03459142	China Agricultural University	2020-11-09
CANON_01410	GCF_015291745.1	REFSEQ	GCF_015291745.1	GCA_015291745.1	paired	Bradyrhizobium sp. CCBAU 53351	1325114	CCBAU 53351	Complete Genome	current		8343321	64	2	2	7364031	7364031	PRJNA279921	SAMN03459136	China Agricultural University	2020-11-09
CANON_01411	GCF_028128755.1	REFSEQ	GCF_028128755.1	GCA_028128755.1	paired	Bradyrhizobium sp. CCBAU 53380	1325117	CCBAU 53380	Scaffold	current		7979628	64	105	100	168710	174028	PRJNA279921	SAMN03459150	China Agricultural University	2023-01-27
CANON_01412	GCF_028128735.1	REFSEQ	GCF_028128735.1	GCA_028128735.1	paired	Bradyrhizobium sp. CCBAU 53415	1325119	CCBAU 53415	Scaffold	current		7755495	64	30	27	634085	879149	PRJNA279921	SAMN03459140	China Agricultural University	2023-01-27
CANON_01413	GCF_015291625.1	REFSEQ	GCF_015291625.1	GCA_015291625.1	paired	Bradyrhizobium sp. CCBAU 53421	1325120	CCBAU 53421	Complete Genome	current		9259049	64	1	1	9259049	9259049	PRJNA279921	SAMN03459145	China Agricultural University	2020-11-09
CANON_01414	GCF_028128835.1	REFSEQ	GCF_028128835.1	GCA_028128835.1	paired	Bradyrhizobium sp. CCBAU 65884	722477	CCBAU 65884	Scaffold	current		8585721	63.5	141	134	176538	176538	PRJNA279921	SAMN03459157	China Agricultural University	2023-01-27
CANON_01415	GCF_024199795.1	REFSEQ	GCF_024199795.1	GCA_024199795.1	paired	Bradyrhizobium sp. CCGB01	2949634	CCGB01	Contig	current		9317328	64	1	1	9317328	9317328	PRJNA842432	SAMN28667590	Universidad Nacional Autonoma de Mexico	2022-07-10
CANON_01416	GCF_024199845.1	REFSEQ	GCF_024199845.1	GCA_024199845.1	paired	Bradyrhizobium sp. CCGB12	2949632	CCGB12	Contig	current		9426670	63	2	2	8985519	8985519	PRJNA842432	SAMN28667586	Universidad Nacional Autonoma de Mexico	2022-07-10
CANON_01417	GCF_024199855.1	REFSEQ	GCF_024199855.1	GCA_024199855.1	paired	Bradyrhizobium sp. CCGB20	2949633	CCGB20	Contig	current		9227337	64	1	1	9227337	9227337	PRJNA842432	SAMN28667587	Universidad Nacional Autonoma de Mexico	2022-07-10
CANON_01418	GCF_000296215.2	REFSEQ	GCF_000296215.2	GCA_000296215.2	paired	Bradyrhizobium sp. CCGE-LA001	1223566	CCGE-LA001	Complete Genome	current		7833499	63.5	1	1	7833499	7833499	PRJNA172908	SAMN02469422	Dra. Esperanza Martínez Romero	2016-01-25
CANON_01419	GCF_024199935.1	REFSEQ	GCF_024199935.1	GCA_024199935.1	paired	Bradyrhizobium sp. CCGUVB14	2949628	CCGUVB14	Contig	current		9769664	63.5	1	1	9769664	9769664	PRJNA842432	SAMN28667582	Universidad Nacional Autonoma de Mexico	2022-07-10
CANON_01420	GCF_024199925.1	REFSEQ	GCF_024199925.1	GCA_024199925.1	paired	Bradyrhizobium sp. CCGUVB1N3	2949629	CCGUVB1N3	Scaffold	current		10444098	63	3	3	9882385	9882385	PRJNA842432	SAMN28667583	Universidad Nacional Autonoma de Mexico	2022-07-10
CANON_01421	GCF_024199885.1	REFSEQ	GCF_024199885.1	GCA_024199885.1	paired	Bradyrhizobium sp. CCGUVB23	2949630	CCGUVB23	Scaffold	current		11273073	62.5	4	4	10227124	10227124	PRJNA842432	SAMN28667584	Universidad Nacional Autonoma de Mexico	2022-07-10
CANON_01422	GCF_024199945.1	REFSEQ	GCF_024199945.1	GCA_024199945.1	paired	Bradyrhizobium sp. CCGUVB4N	2949631	CCGUVB4N	Contig	current		9212720	63.5	1	1	9212720	9212720	PRJNA842432	SAMN28667585	Universidad Nacional Autonoma de Mexico	2022-07-10
CANON_01423	GCF_001556485.1	REFSEQ	GCF_001556485.1	GCA_001556485.1	paired	Bradyrhizobium sp. CCH1-B1	1768766	CCH1-B1	Contig	suppressed		4299406	68	243	243	47648	47648	PRJNA299404	SAMN04299449	U.S. Environmental Protection Agency	2016-02-10
CANON_01424	GCF_001556255.1	REFSEQ	GCF_001556255.1	GCA_001556255.1	paired	Bradyrhizobium sp. CCH10-C7	1768760	CCH10-C7	Contig	suppressed		5592688	60.5	366	366	43895	43895	PRJNA299404	SAMN04299438	U.S. Environmental Protection Agency	2016-02-10
CANON_01425	GCF_001556245.1	REFSEQ	GCF_001556245.1	GCA_001556245.1	paired	Bradyrhizobium sp. CCH4-A6	1768759	CCH4-A6	Contig	suppressed		5299950	61	249	249	55361	55361	PRJNA299404	SAMN04299437	U.S. Environmental Protection Agency	2016-02-10
CANON_01426	GCF_001556725.1	REFSEQ	GCF_001556725.1	GCA_001556725.1	paired	Bradyrhizobium sp. CCH5-A9	1768775	CCH5-A9	Contig	suppressed		4713629	67.5	295	295	43647	43647	PRJNA299404	SAMN04299462	U.S. Environmental Protection Agency	2016-02-10
CANON_01427	GCF_001556045.1	REFSEQ	GCF_001556045.1	GCA_001556045.1	paired	Bradyrhizobium sp. CCH5-F6	1768753	CCH5-F6	Contig	current		8163151	64	222	222	75002	75002	PRJNA299404	SAMN04299426	U.S. Environmental Protection Agency	2016-02-10
CANON_01428	GCF_022835695.1	REFSEQ	GCF_022835695.1	GCA_022835695.1	paired	Bradyrhizobium sp. Ce-3	2913970	Ce-3	Scaffold	current		7608996	65	100	98	570192	671729	PRJDB12974	SAMD00441430	Faculty of Applied Biological Sciences, Gifu University	2022-03-01
CANON_01429	GCF_029846235.1	REFSEQ	GCF_029846235.1	GCA_029846235.1	paired	Bradyrhizobium sp. CER78	3039162	CER78	Contig	current		7974151	64.5	39	39	381669	381669	PRJNA950099	SAMN33973680	Universidade Federal de Vicosa	2023-04-19
CANON_01430	GCF_900113725.1	REFSEQ	GCF_900113725.1	GCA_900113725.1	paired	Bradyrhizobium sp. cf659	1761771	CF659	Scaffold	current		8465016	64.5	26	25	458247	632596	PRJEB17358	SAMN04487925	DOE - JOINT GENOME INSTITUTE	2016-11-05
CANON_01431	GCF_056429105.1	REFSEQ	GCF_056429105.1	GCA_056429105.1	paired	Bradyrhizobium sp. CFUMNI	3466036	CFUMNI	Contig	current		9662413	63.5	176	176	160979	160979	PRJNA1293807	SAMN51784966	The James Hutton Institute	2026-03-30
CANON_01432	GCF_056429125.1	REFSEQ	GCF_056429125.1	GCA_056429125.1	paired	Bradyrhizobium sp. CFUSDI	3466035	CFUSDI	Contig	current		9714611	63.5	220	220	134722	134722	PRJNA1293807	SAMN51784965	The James Hutton Institute	2026-03-30
CANON_01433	GCF_056429085.1	REFSEQ	GCF_056429085.1	GCA_056429085.1	paired	Bradyrhizobium sp. CFUWI	3466037	CFUWI	Contig	current		8368059	64	349	349	350136	350136	PRJNA1293807	SAMN51784967	The James Hutton Institute	2026-03-30
CANON_01434	GCF_029714945.1	REFSEQ	GCF_029714945.1	GCA_029714945.1	paired	Bradyrhizobium sp. CIAT3101	439387	CIAT3101	Complete Genome	current		9368452	63.5	1	1	9368452	9368452	PRJNA783123	SAMN34043467	Murdoch University	2023-04-13
CANON_01435	GCF_014198245.1	REFSEQ	GCF_014198245.1	GCA_014198245.1	paired	Bradyrhizobium sp. cir1	1445730	CIR1	Scaffold	current		8652217	64	77	75	268690	268690	PRJNA580872	SAMN13165759	DOE Joint Genome Institute	2020-08-14
CANON_01436	GCF_014198295.1	REFSEQ	GCF_014198295.1	GCA_014198295.1	paired	Bradyrhizobium sp. CIR18	2663839	CIR18	Scaffold	current		8673214	63.5	46	42	351149	486665	PRJNA580874	SAMN13190139	DOE Joint Genome Institute	2020-08-14
CANON_01437	GCF_014197905.1	REFSEQ	GCF_014197905.1	GCA_014197905.1	paired	Bradyrhizobium sp. CIR3A	2663838	CIR3A	Scaffold	current		8803140	63.5	81	78	324538	428725	PRJNA580873	SAMN13190155	DOE Joint Genome Institute	2020-08-14
CANON_01438	GCF_014198315.1	REFSEQ	GCF_014198315.1	GCA_014198315.1	paired	Bradyrhizobium sp. CIR48	2663840	CIR48	Scaffold	current		8931498	63.5	46	43	478106	533485	PRJNA580875	SAMN13190194	DOE Joint Genome Institute	2020-08-14
CANON_01439	GCF_000426265.1	REFSEQ	GCF_000426265.1	GCA_000426265.1	paired	Bradyrhizobium sp. Cp5.3	443598	Cp5.3	Scaffold	current		8918781	63.5	150	148	218972	218972	PRJNA195750	SAMN02441187	DOE Joint Genome Institute	2013-07-11
CANON_01440	GCF_059512385.1	REFSEQ	GCF_059512385.1	GCA_059512385.1	paired	Bradyrhizobium sp. Crot121	3739378	Crot121	Contig	current		9888818	62.5	602	602	109902	109902	PRJNA1424917	SAMN55400750	University of Pretoria	2026-07-19
CANON_01441	GCF_029051645.1	REFSEQ	GCF_029051645.1	GCA_029051645.1	paired	Bradyrhizobium sp. CSA112	2699170	CSA112	Contig	current		8797651	62	184	184	191868	191868	PRJNA601785	SAMN13874343	university of Abderrahmane Mira	2023-03-08
CANON_01442	GCF_029051685.1	REFSEQ	GCF_029051685.1	GCA_029051685.1	paired	Bradyrhizobium sp. CSA207	2698826	CSA207	Contig	current		8437313	63	151	151	180717	180717	PRJNA601876	SAMN13876259	university of Abderrahmane Mira	2023-03-08
CANON_01443	GCF_029051725.1	REFSEQ	GCF_029051725.1	GCA_029051725.1	paired	Bradyrhizobium sp. CSS354	2699172	CSS354	Contig	current		8239534	63	120	120	413411	413411	PRJNA601879	SAMN13876265	university of Abderrahmane Mira	2023-03-08
CANON_01444	GCF_023100665.1	REFSEQ	GCF_023100665.1	GCA_023100665.1	paired	Bradyrhizobium sp. CW1	2782686	CW1	Complete Genome	current		8663238	63	2	2	8282742	8282742	PRJNA671608	SAMN16538646	Oregon State University	2022-04-25
CANON_01445	GCF_023072975.1	REFSEQ	GCF_023072975.1	GCA_023072975.1	paired	Bradyrhizobium sp. CW10	2782683	CW10	Contig	current		8285283	63	160	160	338626	338626	PRJNA671608	SAMN16538643	Oregon State University	2022-04-20
CANON_01446	GCF_023072925.1	REFSEQ	GCF_023072925.1	GCA_023072925.1	paired	Bradyrhizobium sp. CW11	2782684	CW11	Contig	current		8492959	63	179	179	253295	253295	PRJNA671608	SAMN16538644	Oregon State University	2022-04-20
CANON_01447	GCF_023072895.1	REFSEQ	GCF_023072895.1	GCA_023072895.1	paired	Bradyrhizobium sp. CW12	2782685	CW12	Contig	current		7483989	63	122	122	172932	172932	PRJNA671608	SAMN16538645	Oregon State University	2022-04-20
